Date,Price,Open,High,Low,Vol.,Change %
20-Oct-15,863.13,861.72,866.82,861.71,214.03M,0.32%
19-Oct-15,860.39,850.86,860.39,850.86,188.01M,1.19%
18-Oct-15,850.31,853.87,854.18,850.18,155.92M,-0.43%
15-Oct-15,853.97,858.91,860.08,853.96,222.48M,-0.57%
13-Oct-15,858.87,860.14,861.03,856.56,248.11M,-0.16%
12-Oct-15,860.25,856.34,861.51,853.72,400.10M,0.48%
11-Oct-15,856.17,852.95,856.17,852.95,257.35M,0.44%
8-Oct-15,852.42,843.27,852.42,843.27,320.13M,1.22%
7-Oct-15,842.17,832.81,842.17,832.81,140.88M,1.13%
5-Oct-15,832.8,833.77,834.27,832.68,70.03M,-0.11%
4-Oct-15,833.7,839.23,839.56,833.7,87.48M,-0.65%
1-Oct-15,839.19,844.6,845.91,839.19,110.67M,-0.64%
30-Sep-15,844.61,841.71,846.9,841.51,154.80M,0.39%
29-Sep-15,841.33,847.54,850.36,841.33,178.56M,-0.69%
28-Sep-15,847.14,846.64,848.81,846.64,174.96M,0.06%
22-Sep-15,846.62,846,848.95,846,107.76M,0.08%
21-Sep-15,845.95,842.79,847.62,842.79,95.99M,0.49%
20-Sep-15,841.81,843.74,845.35,841.41,104.87M,-0.17%
17-Sep-15,843.21,844.01,845.54,838.88,198.64M,-0.07%
16-Sep-15,843.83,834.15,845.3,834.15,158.24M,1.20%
15-Sep-15,833.82,833.53,834.83,832.8,130.86M,0.03%
14-Sep-15,833.6,829.25,833.98,829.22,143.60M,0.60%
13-Sep-15,828.64,822.56,829.17,822.56,95.71M,0.70%
10-Sep-15,822.87,823.07,823.07,818.21,141.09M,-0.02%
9-Sep-15,823.05,816.28,823.07,816.28,165.88M,1.40%
8-Sep-15,811.65,833.1,833.1,811.62,265.33M,-2.61%
7-Sep-15,833.38,843.18,846.45,833.16,194.28M,-1.06%
6-Sep-15,842.35,846.34,846.34,842.35,109.61M,-0.47%
3-Sep-15,846.3,835.14,847.06,835.14,157.29M,1.39%
2-Sep-15,834.69,835.11,835.27,830.43,198.94M,-0.09%
1-Sep-15,835.44,837.73,838.74,835.44,174.49M,-0.27%
31-Aug-15,837.7,823.33,837.71,821.24,252.57M,1.72%
30-Aug-15,823.56,825.55,829.45,823.55,151.82M,-0.17%
27-Aug-15,824.95,808.84,825.1,808.84,190.73M,2.71%
26-Aug-15,803.19,802.27,803.32,800.29,154.41M,0.12%
25-Aug-15,802.23,793.19,805.34,792.82,221.63M,1.03%
24-Aug-15,794.05,825.41,825.41,793.73,204.80M,-3.82%
23-Aug-15,825.63,860.56,860.56,825.54,232.15M,-4.31%
20-Aug-15,862.81,864.92,864.92,860.24,195.30M,-0.29%
19-Aug-15,865.36,879.94,879.94,864.18,196.84M,-1.65%
18-Aug-15,879.89,895.41,895.41,879.89,179.28M,-1.73%
17-Aug-15,895.4,901.01,903.14,895.3,189.41M,-0.62%
16-Aug-15,901,921.35,921.35,900.96,182.48M,-2.21%
13-Aug-15,921.35,925.92,927.23,921.27,141.75M,-0.49%
12-Aug-15,925.87,939.48,939.48,925.32,127.32M,-1.53%
11-Aug-15,940.23,936.16,943.37,936.16,130.89M,0.43%
10-Aug-15,936.19,931.76,936.38,930.32,125.03M,0.48%
9-Aug-15,931.73,943.9,943.94,931.72,134.00M,-1.29%
5-Aug-15,943.86,948.4,953.63,943.86,165.45M,-0.48%
4-Aug-15,948.38,937.26,948.92,937.26,170.77M,1.22%
3-Aug-15,936.94,938.77,938.77,929.07,165.62M,-0.20%
2-Aug-15,938.84,944.7,948.05,938.64,186.26M,-0.56%
30-Jul-15,944.14,932.07,944.43,932.06,207.21M,1.64%
29-Jul-15,928.94,917.48,929.69,917.48,161.54M,1.57%
28-Jul-15,914.54,910.4,915.24,908.83,169.13M,0.46%
27-Jul-15,910.37,917.34,917.34,903.99,143.64M,-0.77%
26-Jul-15,917.42,919.41,923.47,917.42,123.66M,-0.09%
22-Jul-15,918.27,908.25,918.36,908.25,130.33M,1.10%
21-Jul-15,908.24,902.7,908.37,902.7,133.77M,0.67%
16-Jul-15,902.24,889.7,902.66,889.7,164.52M,1.43%
15-Jul-15,889.49,875.41,889.5,875.41,150.33M,1.70%
14-Jul-15,874.64,864.99,874.68,864.99,83.33M,1.14%
13-Jul-15,864.78,877.55,877.97,864.75,100.07M,-1.45%
12-Jul-15,877.51,874.36,880.57,874.34,67.20M,0.37%
9-Jul-15,874.3,873.68,877.23,872.11,87.00M,0.08%
8-Jul-15,873.61,888.78,889.95,873.61,124.11M,-1.69%
7-Jul-15,888.62,902.72,903.87,888.6,94.13M,-1.54%
6-Jul-15,902.56,928.73,928.73,902.51,101.82M,-2.81%
5-Jul-15,928.68,937.07,940.13,928.56,133.45M,-0.84%
2-Jul-15,936.54,941.57,941.57,931.74,151.98M,-0.56%
29-Jun-15,941.77,952.58,952.61,941.72,151.49M,-1.12%
28-Jun-15,952.48,944.36,952.74,944.36,122.59M,0.88%
25-Jun-15,944.17,943.48,944.39,938.22,97.69M,0.07%
24-Jun-15,943.55,945.29,950.77,943.51,69.70M,-0.19%
